salience_s,potential_V,cognitive_mass,certainty_order
-2.000000000000000000e+00,2.250000000000000000e+01,1.791647286716891774e+00,-2.000000000000000000e+00
-1.959595959595959558e+00,2.016423181374655016e+01,1.755566307460885378e+00,-1.959595959595959558e+00
-1.919191919191919116e+00,1.800021532985546813e+01,1.719487742949407982e+00,-1.919191919191919116e+00
-1.878787878787878896e+00,1.600027531344836973e+01,1.683411748439521238e+00,-1.878787878787878896e+00
-1.838383838383838453e+00,1.415689643037347523e+01,1.647338492776975194e+00,-1.838383838383838453e+00
-1.797979797979798011e+00,1.246272324720566083e+01,1.611268159914661879e+00,-1.797979797979798011e+00
-1.757575757575757569e+00,1.091056023124643204e+01,1.575200950639123576e+00,-1.757575757575757569e+00
-1.717171717171717127e+00,9.493371750523923680e+00,1.539137084539116129e+00,-1.717171717171717127e+00
-1.676767676767676685e+00,8.204282073792910523e+00,1.503076802256723354e+00,-1.676767676767676685e+00
-1.636363636363636243e+00,7.036575370534795759e+00,1.467020368069434033e+00,-1.636363636363636243e+00
-1.595959595959596022e+00,5.983695710957617209e+00,1.430968072861310780e+00,-1.595959595959596022e+00
-1.555555555555555580e+00,5.039247065996037556e+00,1.394920237553317177e+00,-1.555555555555555580e+00
-1.515151515151515138e+00,4.196993307311362109e+00,1.358877217077667288e+00,-1.515151515151515138e+00
-1.474747474747474696e+00,3.450858207291533919e+00,1.322839404999428758e+00,-1.474747474747474696e+00
-1.434343434343434254e+00,2.794925439051115124e+00,1.286807238911599427e+00,-1.434343434343434254e+00
-1.393939393939394034e+00,2.223438576431314928e+00,1.250781206758760034e+00,-1.393939393939394034e+00
-1.353535353535353369e+00,1.730801093999961848e+00,1.214761854280936637e+00,-1.353535353535353369e+00
-1.313131313131313149e+00,1.311576367051535019e+00,1.178749793815792479e+00,-1.313131313131313149e+00
-1.272727272727272707e+00,9.604876716071304443e-01,1.142745714756804976e+00,-1.272727272727272707e+00
-1.232323232323232265e+00,6.724181844144863085e-01,1.106750396041882301e+00,-1.232323232323232265e+00
-1.191919191919191823e+00,4.424109829479713762e-01,1.070764721146638898e+00,-1.191919191919191823e+00
-1.151515151515151381e+00,2.656690454085892661e-01,1.034789696187186525e+00,-1.151515151515151381e+00
-1.111111111111111160e+00,1.375552507239751754e-01,9.988264719097379452e-01,-1.111111111111111160e+00
-1.070707070707070496e+00,5.359237854839687953e-02,9.628763705739654677e-01,-1.070707070707070496e+00
-1.030303030303030276e+00,9.463109262758647236e-03,9.269409190456993075e-01,-1.030303030303030276e+00
-9.898989898989898339e-01,1.010023974594699515e-03,8.910218898334835158e-01,-9.898989898989898339e-01
-9.494949494949493918e-01,2.423560451807426491e-02,8.551213523782067449e-01,-9.494949494949493918e-01
-9.090909090909089496e-01,7.530223345399932044e-02,8.192417377022415126e-01,-9.090909090909089496e-01
-8.686868686868685074e-01,1.505321940698050309e-01,7.833859206439680589e-01,-8.686868686868685074e-01
-8.282828282828282873e-01,2.464076703795595180e-01,7.475573254958852720e-01,-8.282828282828282873e-01
