step,phi_real,phi_imag,salience,cognitive_mass,potential,vev_broken
0,0.0120398,0.0120398,0.09999920000000001,0.01414213562373095,-0.00039998000000000003,0.0
1,0.014495569764588703,0.014495569764588703,0.09999803635500493,0.01702684844825959,-0.0005797851112215214,0.0
2,0.017452055691702138,0.017452055691702138,0.09999634559744588,0.020499831355406714,-0.0008403978690747354,0.0
3,0.021011209412388696,0.021011209412388696,0.09999389082049313,0.024680933850495728,-0.0012181114605201652,0.0
4,0.02529563583047199,0.02529563583047199,0.09999032872298984,0.029714337312861324,-0.001765493890736879,0.0
5,0.030452698574631887,0.030452698574631887,0.09998516190813642,0.0357734312603043,-0.0025586579031055185,0.0
6,0.036659382844826095,0.036659382844826095,0.09997766988370164,0.043066619335104236,-0.003707747383358819,0.0
7,0.04412801081602924,0.04412801081602924,0.09996680935108959,0.05184419640738064,-0.005372029212193416,0.0
8,0.0531128805066125,0.0531128805066125,0.0999510703176589,0.06240643137657518,-0.007781541545095213,0.0
9,0.06391783812381721,0.06391783812381721,0.09992826888700641,0.07511295594915299,-0.011267996468231525,0.0
10,0.07690466656708497,0.07690466656708497,0.09989524975573782,0.09039347355227037,-0.01630857766411264,0.0
11,0.09250192843490652,0.09250192843490652,0.09984746094478018,0.1087596224689523,-0.02358735241395066,0.0
12,0.11121345690404758,0.11121345690404758,0.09977834981272761,0.13081748173831026,-0.034079996018072774,0.0
13,0.13362490885512485,0.13362490885512485,0.09967851341505805,0.1572795790720998,-0.04916777571661357,0.0
14,0.16040548089771217,0.16040548089771217,0.09953452027928866,0.18897415837378626,-0.07078481900164581,0.0
15,0.19229976839716842,0.19229976839716842,0.09932731167468371,0.226847606564523,-0.10159561581644733,0.0
16,0.2301015284831231,0.2301015284831231,0.09903010466379167,0.2719529405084807,-0.14518188110022598,0.0
17,0.27459668938093484,0.27459668938093484,0.0986057897014608,0.32541270230361174,-0.20618014471917961,0.0
18,0.32645799858700475,0.32645799858700475,0.09800400216467302,0.3883383623052701,-0.29024203936094173,0.0
19,0.3860709251169146,0.3860709251169146,0.09715844142633963,0.46168132914691884,-0.403582912785767,0.0
20,0.45327667921453546,0.45327667921453546,0.0959857104767282,0.5459867383382682,-0.5517707792340285,1.0
21,0.5270463159714556,0.5270463159714556,0.09438794303883605,0.6410300272526348,-0.7374115756485274,1.0
22,0.6051650966203922,0.6051650966203922,0.09226237259610004,0.7453560480456081,-0.9567902430605585,1.0
23,0.6841061820600924,0.6841061820600924,0.08952058298600708,0.8558326871153832,-1.1966579769441186,1.0
24,0.7593445696661134,0.7593445696661134,0.08611652619058942,0.9674722407726605,-1.4339546990090584,1.0
25,0.8262609183604656,0.8262609183604656,0.08207469693518649,1.0738753889361792,-1.641471951560455,1.0
26,0.8814068666667255,0.8814068666667255,0.07750243211941447,1.168509396804219,-1.7986504378314117,1.0
27,0.9234715548926895,0.9234715548926895,0.07257314912262867,1.2464975448088575,-1.9004332038931913,1.0
28,0.9533393800867084,0.9533393800867084,0.06748478601054453,1.3059859973950116,-1.9566641508351936,1.0
29,0.973291054169891,0.973291054169891,0.062415493869043,1.3482254808629819,-1.9833855329119818,1.0
30,0.9859803601628125,0.9859803601628125,0.05749749813979737,1.3764414089434667,-1.9944444663266698,1.0
31,0.9937384931868488,0.9937384931868488,0.05281325676174001,1.3943867975757585,-1.9984495648421003,1.0
32,0.9983189237776674,0.9983189237776674,0.048405007345636554,1.4053584545170452,-1.9996883091176472,1.0
33,1.0009226049999411,1.0009226049999411,0.044287640452345386,1.4118361615800894,-1.9999774298519084,1.0
34,1.0023261921409434,1.0023261921409434,0.04045952680284566,1.415518322876725,-1.9999931841160925,1.0
35,1.0030146118026009,1.0030146118026009,0.03690998611663841,1.417503294847503,-1.9999566098830592,1.0
36,1.0032841590875363,1.0032841590875363,0.03362390723843084,1.4184768672696233,-1.999927077588711,1.0
37,1.0033133902875409,1.0033133902875409,0.030584416981273475,1.4188580646956797,-1.9999134307843782,1.0
38,1.0032088699678163,1.0032088699678163,0.027774344748233027,1.4188994038551705,-1.9999118803074567,1.0
39,1.003033676024918,1.003033676024918,0.025176986131344312,1.4187515898014726,-1.999917360686256,1.0
40,1.0028248127149388,1.0028248127149388,0.022776473023733063,1.4185038281513802,-1.9999261509528288,1.0
41,1.0026037278724556,1.0026037278724556,0.020557928723946087,1.4182084508257256,-1.9999359830114014,1.0
42,1.0023826237928697,1.0023826237928697,0.01850750855969533,1.4178957896430506,-1.9999456235037316,1.0
43,1.0021682296324548,1.0021682296324548,0.0166123815836633,1.4175831012550042,-1.9999544765591764,1.0
44,1.0019640510506318,1.0019640510506318,0.0148606836037296,1.417279902125652,-1.999962308651293,1.0
45,1.0017717094469965,1.0017717094469965,0.013241457804847845,1.4169911500060917,-1.9999690793874425,1.0
46,1.0015917378961454,1.0015917378961454,0.011744591541796138,1.416719137901622,-1.9999748438548566,1.0
47,1.0014240531875236,1.0014240531875236,0.010360753705816819,1.416464619693567,-1.9999796986879281,1.0
48,1.0012682348972566,1.0012682348972566,0.009081334814717597,1.4162274777044315,-1.999983753468915,1.0
49,1.0011236895617481,1.0011236895617481,0.007898390772569801,1.4160071173650701,-1.9999871163179566,1.0
50,1.000989746490812,1.000989746490812,0.00680459061249446,1.4158026993912163,-1.999989887220095,1.0
